# sent_id = 1
# text = Le bois est plus léger que l'eau puisqu'il remonte à la surface lorsqu'on l'enfonce dans l'eau.
1	Le	le	DET	DET	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	2	det	_	_
2	bois	bois	NOUN	NOUN	Gender=Masc|Number=Sing	5	nsubj	_	_
3	est	être	AUX	AUX	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	cop	_	_
4	plus	plus	ADV	ADV	_	5	advmod	_	_
5	léger	léger	ADJ	ADJ	Gender=Masc|Number=Sing	0	root	_	_
6	que	que	SCONJ	SCONJ	_	8	case	_	_
7	l'	le	DET	DET	Definite=Def|Number=Sing|PronType=Art	8	det	_	SpaceAfter=No
8	eau	eau	NOUN	NOUN	Gender=Fem|Number=Sing	4	obj	_	_
9	puisqu'	puisque	SCONJ	SCONJ	_	11	mark	_	SpaceAfter=No
10	il	lui	PRON	PRON	Emph=No|Gender=Masc|Number=Sing|Person=3|PronType=Prs	11	nsubj	_	_
11	remonte	remonter	VERB	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	advcl	_	_
12	à	à	ADP	ADP	_	14	case	_	_
13	la	le	DET	DET	Definite=Def|Gender=Fem|Number=Sing|PronType=Art	14	det	_	_
14	surface	surface	NOUN	NOUN	Gender=Fem|Number=Sing	11	obl:arg	_	_
15	lorsqu'	lorsque	SCONJ	SCONJ	_	18	mark	_	SpaceAfter=No
16	on	on	PRON	PRON	Emph=No|Gender=Masc|Number=Sing|Person=3|PronType=Ind	18	nsubj	_	_
17	l'	lui	PRON	PRON	Emph=No|Number=Sing|Person=3|PronType=Prs	18	obj	_	SpaceAfter=No
18	enfonce	enfoncer	VERB	VERB	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	11	advcl	_	_
19	dans	dans	ADP	ADP	_	21	case	_	_
20	l'	le	DET	DET	Definite=Def|Number=Sing|PronType=Art	21	det	_	SpaceAfter=No
21	eau	eau	NOUN	NOUN	Gender=Fem|Number=Sing	18	obl:arg	_	SpaceAfter=No
22	.	.	PUNCT	PUNCT	_	5	punct	_	SpaceAfter=No
